City,Area,Year,PersonPerSqMile,EmissionPerPerson
New York,302,2010,27070,1401
Los Angeles,469,2010,8087,4306
Chicago,227,2010,11875,2411
Houston,638,2010,3291,9705
Phoenix,518,2010,2791,5398
Philadelphia,134,2010,11388,3111
San Antonio,461,2010,2879,6131
San Diego,325,2010,4023,4961
Dallas,341,2010,3513,8688
San Jose,178,2010,5314,4702
Austin,313,2010,2525,6647
Jacksonville,747,2010,1100,6313
Fort Worth,343,2010,2161,9709
Columbus,219,2010,3594,6639
Charlotte,305,2010,2398,5713
San Francisco,47,2010,17133,2051
Indianapolis,362,2010,2266,10213
Seattle,84,2010,7246,3298
Denver,153,2010,3923,7193
Washington,61,2010,9864,2829
Boston,48,2010,12867,3542
El Paso,257,2010,2526,4367
Nashville-Davidson,476,2010,1263,7727
Detroit,139,2010,5135,5297
Oklahoma City,606,2010,957,7978
Portland,134,2010,4357,4711
Las Vegas,134,2010,4356,5336
Memphis,317,2010,2041,6317
Louisville/Jefferson County,264,2010,2263,4979
Baltimore,81,2010,7666,3544
Milwaukee,96,2010,6196,3871
Albuquerque,188,2010,2903,4328
Tucson,231,2010,2252,4379
Fresno,114,2010,4339,3730
Mesa,138,2010,3181,5432
Sacramento,98,2010,4760,7978
Atlanta,134,2010,3134,10257
Kansas City,315,2010,1460,9064
Colorado Springs,196,2010,2125,4054
Omaha,133,2010,3075,5516
Raleigh,154,2010,2623,7058
Miami,36,2010,11096,5852
Long Beach,50,2010,9245,5252
Virginia Beach,245,2010,1788,4249
Oakland,56,2010,6977,4950
Minneapolis,54,2010,7085,4553
Tulsa,197,2010,1989,7220
Tampa,113,2010,2971,6429
Arlington,96,2010,3807,4405
New Orleans,169,2010,2034,5016
Wichita,160,2010,2390,4701
Bakersfield,149,2010,2332,5296
Cleveland,78,2010,5087,5625
Aurora,153,2010,2125,5322
Anaheim,50,2010,6725,5853
Santa Ana,27,2010,12020,5729
Riverside,81,2010,3751,3672
Corpus Christi,175,2010,1744,5535
Lexington-Fayette,284,2010,1042,4664
Henderson,105,2010,2455,5591
Stockton,62,2010,4705,4201
St. Paul,62,2010,4598,5423
Cincinnati,77,2010,3856,6827
St. Louis,62,2010,5150,5782
Pittsburgh,55,2010,5558,4714
Greensboro,128,2010,2107,7505
Lincoln,92,2010,2808,4269
Plano,72,2010,3609,4770
Orlando,105,2010,2270,10421
Irvine,66,2010,3218,12585
Newark,24,2010,11548,8992
Durham,110,2010,2076,7821
Chula Vista,50,2010,4878,4488
Toledo,81,2010,3546,4725
Fort Wayne,111,2010,2286,5527
St. Petersburg,62,2010,3948,7284
Laredo,101,2010,2338,3602
Jersey City,15,2010,16506,8113
Chandler,65,2010,3633,4701
Madison,77,2010,3029,5965
Lubbock,125,2010,1837,4904
Scottsdale,184,2010,1181,3428
Reno,107,2010,2105,5914
Buffalo,40,2010,6533,2831
Gilbert town,68,2010,3065,2343
Glendale,59,2010,3843,3284
North Las Vegas,98,2010,2214,6658
Winston-Salem,133,2010,1726,5978
Chesapeake,339,2010,655,5511
Norfolk,53,2010,4581,6507
Fremont,78,2010,2745,8043
Garland,57,2010,3980,4742
Irving,67,2010,3228,13951
Hialeah,22,2010,10212,4781
Richmond,60,2010,3404,6572
Boise,82,2010,2508,6360
Spokane,69,2010,3028,4268
Baton Rouge,86,2010,2669,8215
New York,302,2011,27394,1240
Los Angeles,469,2011,8147,3920
Chicago,227,2011,11930,2307
Houston,638,2011,3332,9274
Phoenix,518,2011,2837,5288
Philadelphia,134,2011,11496,2864
San Antonio,461,2011,2944,5993
San Diego,325,2011,4060,4758
Dallas,341,2011,3573,8316
San Jose,178,2011,5452,4808
Austin,313,2011,2647,6464
Jacksonville,747,2011,1111,6228
Fort Worth,343,2011,2228,9211
Columbus,219,2011,3656,6514
Charlotte,305,2011,2475,5286
San Francisco,47,2011,17354,2319
Indianapolis,362,2011,2286,8428
Seattle,84,2011,7413,3207
Denver,153,2011,4056,6613
Washington,61,2011,10161,2641
Boston,48,2011,13136,3384
El Paso,257,2011,2585,4252
Nashville-Davidson,476,2011,1287,7600
Detroit,139,2011,5073,5191
Oklahoma City,606,2011,975,7879
Portland,134,2011,4444,4450
Las Vegas,134,2011,4378,5257
Memphis,317,2011,2067,6075
Louisville/Jefferson County,264,2011,2272,4832
Baltimore,81,2011,7659,3417
Milwaukee,96,2011,6220,3453
Albuquerque,188,2011,2937,4335
Tucson,231,2011,2297,4263
Fresno,114,2011,4399,3530
Mesa,138,2011,3244,5251
Sacramento,98,2011,4805,8146
Atlanta,134,2011,3267,9764
Kansas City,315,2011,1468,8759
Colorado Springs,196,2011,2181,3804
Omaha,133,2011,3474,4777
Raleigh,154,2011,2688,6725
Miami,36,2011,11294,5584
Long Beach,50,2011,9290,4840
Virginia Beach,245,2011,1806,3963
Oakland,56,2011,7073,5566
Minneapolis,54,2011,7186,4352
Tulsa,197,2011,1995,7213
Tampa,113,2011,3032,5934
Arlington,96,2011,3857,4255
New Orleans,169,2011,2135,4604
Wichita,160,2011,2399,4757
Bakersfield,149,2011,2371,5651
Cleveland,78,2011,5034,5600
Aurora,153,2011,2175,4923
Anaheim,50,2011,6797,5561
Santa Ana,27,2011,12157,5607
Riverside,81,2011,3821,3528
Corpus Christi,175,2011,1761,5337
Lexington-Fayette,284,2011,1062,4343
Henderson,105,2011,2464,5458
Stockton,62,2011,4764,4233
St. Paul,62,2011,4659,5157
Cincinnati,77,2011,3847,6843
St. Louis,62,2011,5151,5445
Pittsburgh,55,2011,5564,4324
Greensboro,128,2011,2128,7219
Lincoln,92,2011,2855,4206
Plano,72,2011,3709,4818
Orlando,105,2011,2320,10167
Irvine,66,2011,3338,11877
Newark,24,2011,11566,8836
Durham,110,2011,2139,7331
Chula Vista,50,2011,4966,4216
Toledo,81,2011,3524,4514
Fort Wayne,111,2011,2309,5679
St. Petersburg,62,2011,3966,6552
Laredo,101,2011,2388,3694
Jersey City,15,2011,16858,7785
Chandler,65,2011,3644,4639
Madison,77,2011,3077,5699
Lubbock,125,2011,1871,4703
Scottsdale,184,2011,1200,3262
Reno,107,2011,2122,5510
Buffalo,40,2011,6518,2745
Gilbert town,68,2011,3110,2269
Glendale,59,2011,3887,3210
North Las Vegas,98,2011,2227,6510
Winston-Salem,133,2011,1743,5248
Chesapeake,339,2011,665,4967
Norfolk,53,2011,4597,5958
Fremont,78,2011,2787,8759
Garland,57,2011,4036,4558
Irving,67,2011,3281,13332
Hialeah,22,2011,10369,4594
Richmond,60,2011,3440,6157
Boise,82,2011,2593,6116
Spokane,69,2011,3030,4258
Baton Rouge,86,2011,2659,7960
New York,302,2012,27638,1149
Los Angeles,469,2012,8212,3670
Chicago,227,2012,11979,2261
Houston,638,2012,3388,9014
Phoenix,518,2012,2894,5062
Philadelphia,134,2012,11581,2653
San Antonio,461,2012,3000,5933
San Diego,325,2012,4113,4635
Dallas,341,2012,3643,8156
San Jose,178,2012,5525,4864
Austin,313,2012,2730,6525
Jacksonville,747,2012,1120,6143
Fort Worth,343,2012,2277,8993
Columbus,219,2012,3711,6457
Charlotte,305,2012,2535,4994
San Francisco,47,2012,17636,2439
Indianapolis,362,2012,2308,7892
Seattle,84,2012,7571,3158
Denver,153,2012,4151,6274
Washington,61,2012,10409,2583
Boston,48,2012,13395,3279
El Paso,257,2012,2626,4227
Nashville-Davidson,476,2012,1314,7453
Detroit,139,2012,5037,5201
Oklahoma City,606,2012,992,7704
Portland,134,2012,4509,4302
Las Vegas,134,2012,4427,5204
Memphis,317,2012,2078,5966
Louisville/Jefferson County,264,2012,2289,4615
Baltimore,81,2012,7690,3463
Milwaukee,96,2012,6235,3254
Albuquerque,188,2012,2952,4619
Tucson,231,2012,2303,4246
Fresno,114,2012,4433,3345
Mesa,138,2012,3311,5313
Sacramento,98,2012,4839,8118
Atlanta,134,2012,3351,9427
Kansas City,315,2012,1475,8460
Colorado Springs,196,2012,2208,3742
Omaha,133,2012,3498,4622
Raleigh,154,2012,2749,6439
Miami,36,2012,11421,5425
Long Beach,50,2012,9337,4564
Virginia Beach,245,2012,1817,3810
Oakland,56,2012,7163,5924
Minneapolis,54,2012,7273,4222
Tulsa,197,2012,2003,7245
Tampa,113,2012,3080,5792
Arlington,96,2012,3913,4211
New Orleans,169,2012,2188,4192
Wichita,160,2012,2411,4644
Bakersfield,149,2012,2398,5909
Cleveland,78,2012,5020,5543
Aurora,153,2012,2217,4716
Anaheim,50,2012,6841,5329
Santa Ana,27,2012,12243,5426
Riverside,81,2012,3856,3426
Corpus Christi,175,2012,1785,5440
Lexington-Fayette,284,2012,1077,4219
Henderson,105,2012,2507,5345
Stockton,62,2012,4791,4245
St. Paul,62,2012,4698,4922
Cincinnati,77,2012,3856,6886
St. Louis,62,2012,5152,5204
Pittsburgh,55,2012,5570,4053
Greensboro,128,2012,2157,6787
Lincoln,92,2012,2890,4125
Plano,72,2012,3782,5103
Orlando,105,2012,2380,9984
Irvine,66,2012,3471,11081
Newark,24,2012,11566,8714
Durham,110,2012,2192,6928
Chula Vista,50,2012,5048,4073
Toledo,81,2012,3496,4474
Fort Wayne,111,2012,2321,5682
St. Petersburg,62,2012,3978,6281
Laredo,101,2012,2433,3972
Jersey City,15,2012,17071,7605
Chandler,65,2012,3656,4764
Madison,77,2012,3115,5696
Lubbock,125,2012,1891,4641
Scottsdale,184,2012,1224,3180
Reno,107,2012,2139,5437
Buffalo,40,2012,6504,2655
Gilbert town,68,2012,3175,2307
Glendale,59,2012,3959,3280
North Las Vegas,98,2012,2264,6393
Winston-Salem,133,2012,1758,4865
Chesapeake,339,2012,673,4833
Norfolk,53,2012,4644,5688
Fremont,78,2012,2839,9168
Garland,57,2012,4100,4498
Irving,67,2012,3369,12951
Hialeah,22,2012,10475,4472
Richmond,60,2012,3513,5933
Boise,82,2012,2630,5874
Spokane,69,2012,3033,4288
Baton Rouge,86,2012,2662,7470
New York,302,2013,27802,1130
Los Angeles,469,2013,8276,3507
Chicago,227,2013,12008,2290
Houston,638,2013,3447,8901
Phoenix,518,2013,2947,4846
Philadelphia,134,2013,11629,2476
San Antonio,461,2013,3055,5925
San Diego,325,2013,4170,4545
Dallas,341,2013,3692,8151
San Jose,178,2013,5625,4726
Austin,313,2013,2796,6637
Jacksonville,747,2013,1128,6051
Fort Worth,343,2013,2321,8891
Columbus,219,2013,3780,6270
Charlotte,305,2013,2597,4933
San Francisco,47,2013,17863,2442
Indianapolis,362,2013,2333,7695
Seattle,84,2013,7781,3035
Denver,153,2013,4244,6094
Washington,61,2013,10665,2390
Boston,48,2013,13604,3288
El Paso,257,2013,2626,4285
Nashville-Davidson,476,2013,1336,7569
Detroit,139,2013,4977,5307
Oklahoma City,606,2013,1010,7301
Portland,134,2013,4551,4181
Las Vegas,134,2013,4474,5445
Memphis,317,2013,2073,6111
Louisville/Jefferson County,264,2013,2312,4603
Baltimore,81,2013,7684,3394
Milwaukee,96,2013,6249,3132
Albuquerque,188,2013,2965,4854
Tucson,231,2013,2307,4222
Fresno,114,2013,4464,3146
Mesa,138,2013,3368,5458
Sacramento,98,2013,4880,7958
Atlanta,134,2013,3388,9589
Kansas City,315,2013,1483,8499
Colorado Springs,196,2013,2235,3753
Omaha,133,2013,3519,4602
Raleigh,154,2013,2801,6397
Miami,36,2013,11546,5286
Long Beach,50,2013,9360,4389
Virginia Beach,245,2013,1827,3650
Oakland,56,2013,7262,5999
Minneapolis,54,2013,7409,4084
Tulsa,197,2013,2022,7089
Tampa,113,2013,3143,5699
Arlington,96,2013,3947,4226
New Orleans,169,2013,2240,4111
Wichita,160,2013,2420,4591
Bakersfield,149,2013,2435,6014
Cleveland,78,2013,5023,5355
Aurora,153,2013,2259,4622
Anaheim,50,2013,6877,5102
Santa Ana,27,2013,12360,5188
Riverside,81,2013,3895,3367
Corpus Christi,175,2013,1812,5607
Lexington-Fayette,284,2013,1091,4319
Henderson,105,2013,2555,5572
Stockton,62,2013,4798,4244
St. Paul,62,2013,4759,4682
Cincinnati,77,2013,3869,6805
St. Louis,62,2013,5137,5200
Pittsburgh,55,2013,5580,3850
Greensboro,128,2013,2182,6632
Lincoln,92,2013,2925,4084
Plano,72,2013,3815,5512
Orlando,105,2013,2430,9860
Irvine,66,2013,3577,10358
Newark,24,2013,11588,8733
Durham,110,2013,2245,6791
Chula Vista,50,2013,5134,3970
Toledo,81,2013,3486,4363
Fort Wayne,111,2013,2336,5729
St. Petersburg,62,2013,4007,6085
Laredo,101,2013,2471,4253
Jersey City,15,2013,17141,7633
Chandler,65,2013,3691,4900
Madison,77,2013,3159,5652
Lubbock,125,2013,1918,4598
Scottsdale,184,2013,1244,3131
Reno,107,2013,2159,5783
Buffalo,40,2013,6500,2608
Gilbert town,68,2013,3259,2347
Glendale,59,2013,4015,3398
North Las Vegas,98,2013,2299,6622
Winston-Salem,133,2013,1772,4793
Chesapeake,339,2013,679,4799
Norfolk,53,2013,4631,5570
Fremont,78,2013,2882,9215
Garland,57,2013,4117,4537
Irving,67,2013,3417,12871
Hialeah,22,2013,10560,4350
Richmond,60,2013,3564,5804
Boise,82,2013,2650,5641
Spokane,69,2013,3044,4208
Baton Rouge,86,2013,2655,7390
New York,302,2014,27927,1149
Los Angeles,469,2014,8337,3699
Chicago,227,2014,12014,2308
Houston,638,2014,3514,9324
Phoenix,518,2014,3003,4786
Philadelphia,134,2014,11683,2420
San Antonio,461,2014,3114,6201
San Diego,325,2014,4233,4777
Dallas,341,2014,3751,8543
San Jose,178,2014,5698,4585
Austin,313,2014,2879,6870
Jacksonville,747,2014,1141,6164
Fort Worth,343,2014,2376,9172
Columbus,219,2014,3843,6562
Charlotte,305,2014,2647,4982
San Francisco,47,2014,18101,2352
Indianapolis,362,2014,2349,7690
Seattle,84,2014,7977,3047
Denver,153,2014,4344,6099
Washington,61,2014,10858,2500
Boston,48,2014,13809,3186
El Paso,257,2014,2635,4509
Nashville-Davidson,476,2014,1356,7708
Detroit,139,2014,4911,5353
Oklahoma City,606,2014,1026,7397
Portland,134,2014,4631,4232
Las Vegas,134,2014,4537,5186
Memphis,317,2014,2066,6245
Louisville/Jefferson County,264,2014,2321,4692
Baltimore,81,2014,7699,3480
Milwaukee,96,2014,6257,3249
Albuquerque,188,2014,2965,5017
Tucson,231,2014,2315,4234
Fresno,114,2014,4510,3136
Mesa,138,2014,3428,5638
Sacramento,98,2014,4926,8124
Atlanta,134,2014,3441,9680
Kansas City,315,2014,1494,8643
Colorado Springs,196,2014,2257,3842
Omaha,133,2014,3537,4790
Raleigh,154,2014,2854,6429
Miami,36,2014,11809,5354
Long Beach,50,2014,9382,4635
Virginia Beach,245,2014,1832,3518
Oakland,56,2014,7373,5899
Minneapolis,54,2014,7538,4086
Tulsa,197,2014,2030,7501
Tampa,113,2014,3209,5891
Arlington,96,2014,3987,4421
New Orleans,169,2014,2272,3993
Wichita,160,2014,2428,4595
Bakersfield,149,2014,2463,6241
Cleveland,78,2014,5011,5589
Aurora,153,2014,2305,4616
Anaheim,50,2014,6892,5222
Santa Ana,27,2014,12349,5301
Riverside,81,2014,3922,3659
Corpus Christi,175,2014,1833,5944
Lexington-Fayette,284,2014,1098,4456
Henderson,105,2014,2612,5371
Stockton,62,2014,4856,4427
St. Paul,62,2014,4801,4642
Cincinnati,77,2014,3878,7089
St. Louis,62,2014,5119,5241
Pittsburgh,55,2014,5563,3951
Greensboro,128,2014,2205,6657
Lincoln,92,2014,2980,4049
Plano,72,2014,3864,6118
Orlando,105,2014,2500,10074
Irvine,66,2014,3744,10110
Newark,24,2014,11622,8595
Durham,110,2014,2303,6759
Chula Vista,50,2014,5198,4179
Toledo,81,2014,3466,4549
Fort Wayne,111,2014,2347,5682
St. Petersburg,62,2014,4068,6158
Laredo,101,2014,2502,4441
Jersey City,15,2014,17242,7479
Chandler,65,2014,3706,5091
Madison,77,2014,3193,5764
Lubbock,125,2014,1955,4729
Scottsdale,184,2014,1271,3099
Reno,107,2014,2188,5689
Buffalo,40,2014,6489,2628
Gilbert town,68,2014,3343,2378
Glendale,59,2014,4067,3529
North Las Vegas,98,2014,2333,6241
Winston-Salem,133,2014,1793,4953
Chesapeake,339,2014,688,4876
Norfolk,53,2014,4652,5589
Fremont,78,2014,2927,9036
Garland,57,2014,4133,4776
Irving,67,2014,3471,13375
Hialeah,22,2014,10584,4431
Richmond,60,2014,3617,5767
Boise,82,2014,2676,5669
Spokane,69,2014,3059,4263
Baton Rouge,86,2014,2649,7165
New York,302,2015,28023,1217
Los Angeles,469,2015,8398,3934
Chicago,227,2015,12002,2415
Houston,638,2015,3584,9861
Phoenix,518,2015,3057,4876
Philadelphia,134,2015,11724,2429
San Antonio,461,2015,3176,6509
San Diego,325,2015,4269,5061
Dallas,341,2015,3816,9001
San Jose,178,2015,5764,4293
Austin,313,2015,2943,7066
Jacksonville,747,2015,1159,6257
Fort Worth,343,2015,2435,9472
Columbus,219,2015,3904,6787
Charlotte,305,2015,2707,5183
San Francisco,47,2015,18362,2122
Indianapolis,362,2015,2358,7848
Seattle,84,2015,8183,3080
Denver,153,2015,4466,6245
Washington,61,2015,11072,2478
Boston,48,2015,13969,3206
El Paso,257,2015,2631,4751
Nashville-Davidson,476,2015,1377,8057
Detroit,139,2015,4888,5449
Oklahoma City,606,2015,1043,7507
Portland,134,2015,4712,4374
Las Vegas,134,2015,4608,5209
Memphis,317,2015,2063,6520
Louisville/Jefferson County,264,2015,2331,4898
Baltimore,81,2015,7685,3499
Milwaukee,96,2015,6255,3500
Albuquerque,188,2015,2968,5183
Tucson,231,2015,2319,4270
Fresno,114,2015,4546,3119
Mesa,138,2015,3491,5860
Sacramento,98,2015,4981,8097
Atlanta,134,2015,3495,10157
Kansas City,315,2015,1508,9025
Colorado Springs,196,2015,2294,3969
Omaha,133,2015,3554,5234
Raleigh,154,2015,2919,6605
Miami,36,2015,12076,5494
Long Beach,50,2015,9403,4932
Virginia Beach,245,2015,1838,3453
Oakland,56,2015,7468,5522
Minneapolis,54,2015,7612,4259
Tulsa,197,2015,2048,7932
Tampa,113,2015,3287,6138
Arlington,96,2015,4049,4596
New Orleans,169,2015,2306,4026
Wichita,160,2015,2434,4693
Bakersfield,149,2015,2492,6158
Cleveland,78,2015,4990,5769
Aurora,153,2015,2354,4689
Anaheim,50,2015,6965,5284
Santa Ana,27,2015,12349,5382
Riverside,81,2015,3957,3964
Corpus Christi,175,2015,1855,6228
Lexington-Fayette,284,2015,1112,4670
Henderson,105,2015,2687,5534
Stockton,62,2015,4912,4540
St. Paul,62,2015,4837,4766
Cincinnati,77,2015,3889,7179
St. Louis,62,2015,5097,5429
Pittsburgh,55,2015,5529,4199
Greensboro,128,2015,2224,6927
Lincoln,92,2015,3015,4091
Plano,72,2015,3943,6695
Orlando,105,2015,2579,10332
Irvine,66,2015,3869,9955
Newark,24,2015,11652,8716
Durham,110,2015,2351,6947
Chula Vista,50,2015,5284,4383
Toledo,81,2015,3456,4656
Fort Wayne,111,2015,2361,5588
St. Petersburg,62,2015,4114,6311
Laredo,101,2015,2527,4400
Jersey City,15,2015,17345,7536
Chandler,65,2015,3749,5277
Madison,77,2015,3231,5908
Lubbock,125,2015,1984,4854
Scottsdale,184,2015,1310,3060
Reno,107,2015,2225,5992
Buffalo,40,2015,6454,2741
Gilbert town,68,2015,3418,2413
Glendale,59,2015,4120,3677
North Las Vegas,98,2015,2373,6187
Winston-Salem,133,2015,1803,5402
Chesapeake,339,2015,694,5190
Norfolk,53,2015,4650,5903
Fremont,78,2015,2970,8427
Garland,57,2015,4161,5014
Irving,67,2015,3540,13881
Hialeah,22,2015,10631,4513
Richmond,60,2015,3681,5909
Boise,82,2015,2693,5883
Spokane,69,2015,3080,4279
Baton Rouge,86,2015,2642,7170
New York,302,2016,28044,1383
Los Angeles,469,2016,8450,4372
Chicago,227,2016,11968,2600
Houston,638,2016,3620,11013
Phoenix,518,2016,3112,5300
Philadelphia,134,2016,11762,2578
San Antonio,461,2016,3227,7130
San Diego,325,2016,4314,5559
Dallas,341,2016,3882,9892
San Jose,178,2016,5788,4095
Austin,313,2016,3001,7423
Jacksonville,747,2016,1179,6551
Fort Worth,343,2016,2496,10141
Columbus,219,2016,3958,7406
Charlotte,305,2016,2764,5644
San Francisco,47,2016,18543,1889
Indianapolis,362,2016,2373,8321
Seattle,84,2016,8448,3203
Denver,153,2016,4550,6896
Washington,61,2016,11243,2502
Boston,48,2016,14164,3264
El Paso,257,2016,2646,5117
Nashville-Davidson,476,2016,1390,8776
Detroit,139,2016,4872,5744
Oklahoma City,606,2016,1056,8112
Portland,134,2016,4796,4810
Las Vegas,134,2016,4676,5335
Memphis,317,2016,2059,6976
Louisville/Jefferson County,264,2016,2339,5259
Baltimore,81,2016,7608,3570
Milwaukee,96,2016,6219,4065
Albuquerque,188,2016,2974,5587
Tucson,231,2016,2327,4403
Fresno,114,2016,4574,3233
Mesa,138,2016,3556,6208
Sacramento,98,2016,5042,8202
Atlanta,134,2016,3576,10979
Kansas City,315,2016,1529,9659
Colorado Springs,196,2016,2340,4285
Omaha,133,2016,3572,6291
Raleigh,154,2016,2984,7065
Miami,36,2016,12476,5819
Long Beach,50,2016,9374,5509
Virginia Beach,245,2016,1841,3512
Oakland,56,2016,7517,5224
Minneapolis,54,2016,7687,4767
Tulsa,197,2016,2051,8909
Tampa,113,2016,3366,6604
Arlington,96,2016,4108,4937
New Orleans,169,2016,2319,4212
Wichita,160,2016,2441,5065
Bakersfield,149,2016,2515,5948
Cleveland,78,2016,4970,6281
Aurora,153,2016,2374,5082
Anaheim,50,2016,7000,5581
Santa Ana,27,2016,12362,5664
Riverside,81,2016,3996,4427
Corpus Christi,175,2016,1862,6720
Lexington-Fayette,284,2016,1126,4962
Henderson,105,2016,2757,5972
Stockton,62,2016,4954,4772
St. Paul,62,2016,4886,5259
Cincinnati,77,2016,3893,7498
St. Louis,62,2016,5042,5779
Pittsburgh,55,2016,5539,4706
Greensboro,128,2016,2259,7513
Lincoln,92,2016,3058,4338
Plano,72,2016,3990,7541
Orlando,105,2016,2652,11033
Irvine,66,2016,4020,10126
Newark,24,2016,11695,9190
Durham,110,2016,2414,7394
Chula Vista,50,2016,5325,4813
Toledo,81,2016,3443,4943
Fort Wayne,111,2016,2374,5521
St. Petersburg,62,2016,4182,6581
Laredo,101,2016,2553,4204
Jersey City,15,2016,17362,7925
Chandler,65,2016,3813,5544
Madison,77,2016,3282,6302
Lubbock,125,2016,2011,5100
Scottsdale,184,2016,1348,3096
Reno,107,2016,2263,6548
Buffalo,40,2016,6420,3021
Gilbert town,68,2016,3487,2472
Glendale,59,2016,4168,3896
North Las Vegas,98,2016,2413,6232
Winston-Salem,133,2016,1818,6170
Chesapeake,339,2016,700,5768
Norfolk,53,2016,4635,6620
Fremont,78,2016,2993,7935
Garland,57,2016,4146,5506
Irving,67,2016,3581,15087
Hialeah,22,2016,10649,4750
Richmond,60,2016,3756,6352
Boise,82,2016,2739,6325
Spokane,69,2016,3119,4327
Baton Rouge,86,2016,2636,7303
New York,302,2017,27939,1546
Los Angeles,469,2017,8477,4799
Chicago,227,2017,11943,2865
Houston,638,2017,3631,12357
Phoenix,518,2017,3154,6024
Philadelphia,134,2017,11796,2766
San Antonio,461,2017,3278,7779
San Diego,325,2017,4347,5989
Dallas,341,2017,3937,10884
San Jose,178,2017,5800,3734
Austin,313,2017,3040,7638
Jacksonville,747,2017,1194,7020
Fort Worth,343,2017,2550,10767
Columbus,219,2017,4026,7919
Charlotte,305,2017,2820,6193
San Francisco,47,2017,18682,1579
Indianapolis,362,2017,2385,9144
Seattle,84,2017,8675,3437
Denver,153,2017,4608,7624
Washington,61,2017,11392,2554
Boston,48,2017,14329,3160
El Paso,257,2017,2651,5415
Nashville-Davidson,476,2017,1394,9779
Detroit,139,2017,4853,6133
Oklahoma City,606,2017,1061,8560
Portland,134,2017,4835,5147
Las Vegas,134,2017,4741,5400
Memphis,317,2017,2053,7481
Louisville/Jefferson County,264,2017,2347,5868
Baltimore,81,2017,7537,3644
Milwaukee,96,2017,6185,4708
Albuquerque,188,2017,2977,5857
Tucson,231,2017,2344,4552
Fresno,114,2017,4609,3278
Mesa,138,2017,3623,6602
Sacramento,98,2017,5110,7987
Atlanta,134,2017,3669,12350
Kansas City,315,2017,1550,10249
Colorado Springs,196,2017,2373,4545
Omaha,133,2017,3581,7726
Raleigh,154,2017,3025,7608
Miami,36,2017,12684,6382
Long Beach,50,2017,9333,6064
Virginia Beach,245,2017,1836,3567
Oakland,56,2017,7578,4764
Minneapolis,54,2017,7795,5353
Tulsa,197,2017,2041,9686
Tampa,113,2017,3460,7151
Arlington,96,2017,4137,5268
New Orleans,169,2017,2317,4514
Wichita,160,2017,2439,5287
Bakersfield,149,2017,2537,5360
Cleveland,78,2017,4939,6745
Aurora,153,2017,2402,5410
Anaheim,50,2017,7010,5764
Santa Ana,27,2017,12320,5814
Riverside,81,2017,4036,4839
Corpus Christi,175,2017,1860,7200
Lexington-Fayette,284,2017,1134,5385
Henderson,105,2017,2851,6446
Stockton,62,2017,5002,4866
St. Paul,62,2017,4918,5896
Cincinnati,77,2017,3917,7635
St. Louis,62,2017,4972,6117
Pittsburgh,55,2017,5482,5514
Greensboro,128,2017,2278,8322
Lincoln,92,2017,3093,4505
Plano,72,2017,3996,8357
Orlando,105,2017,2684,12232
Irvine,66,2017,4182,10010
Newark,24,2017,11718,9517
Durham,110,2017,2453,7975
Chula Vista,50,2017,5381,5147
Toledo,81,2017,3416,5114
Fort Wayne,111,2017,2389,5486
St. Petersburg,62,2017,4235,6892
Laredo,101,2017,2568,3753
Jersey City,15,2017,17553,8067
Chandler,65,2017,3902,5814
Madison,77,2017,3322,6603
Lubbock,125,2017,2035,5241
Scottsdale,184,2017,1366,3200
Reno,107,2017,2305,7173
Buffalo,40,2017,6408,3201
Gilbert town,68,2017,3569,2513
Glendale,59,2017,4200,4149
North Las Vegas,98,2017,2454,6202
Winston-Salem,133,2017,1838,7109
Chesapeake,339,2017,708,6409
Norfolk,53,2017,4614,7514
Fremont,78,2017,3007,7212
Garland,57,2017,4181,5939
Irving,67,2017,3591,16454
Hialeah,22,2017,10742,5025
Richmond,60,2017,3787,7003
Boise,82,2017,2776,7134
Spokane,69,2017,3151,4411
Baton Rouge,86,2017,2609,7525
